id,employee_id/id,job_id/id,wage,date_start,trial_date_start,trial_date_end,schedule_template_id/id,struct_id/id,pps_id/id,policy_group_id/id
contract_405,l31_plant_107,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_406,l31_plant_108,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_407,l31_plant_109,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_408,l31_plant_110,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_409,l31_plant_111,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_410,l31_plant_112,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_411,l31_plant_113,braam_flowers.job_worker_planting31,600,2012-12-16,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_412,l31_plant_114,braam_flowers.job_worker_planting31,600,2012-12-20,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_413,l31_plant_115,braam_flowers.job_worker_planting31,600,2012-12-24,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_414,l31_plant_116,braam_flowers.job_worker_planting31,600,2012-12-28,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_415,l31_plant_117,braam_flowers.job_worker_planting31,600,2012-12-28,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_416,l31_plant_118,braam_flowers.job_worker_planting31,600,2012-12-28,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_417,l31_plant_119,braam_flowers.job_worker_planting31,600,2012-12-28,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_418,l31_plant_120,braam_flowers.job_worker_planting31,600,2013-01-16,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_419,l31_plant_121,braam_flowers.job_worker_planting31,600,2013-01-16,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_420,l31_plant_123,braam_flowers.job_worker_planting31,600,2013-02-03,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_421,l31_plant_124,braam_flowers.job_worker_planting31,600,2013-02-03,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_422,l31_plant_125,braam_flowers.job_worker_planting31,600,2013-02-09,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_423,l31_plant_126,braam_flowers.job_worker_planting31,600,2013-02-19,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_424,l31_plant_127,braam_flowers.job_worker_planting31,600,2013-02-19,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_425,l31_plant_128,braam_flowers.job_worker_planting31,600,2013-02-19,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_426,l31_plant_129,braam_flowers.job_worker_planting31,600,2013-02-24,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_427,l31_plant_130,braam_flowers.job_worker_planting31,600,2013-02-24,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_428,l31_plant_131,braam_flowers.job_worker_planting31,600,2013-02-24,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_429,l31_plant_132,braam_flowers.job_worker_planting31,600,2013-02-28,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_430,l31_plant_133,braam_flowers.job_worker_planting31,600,2013-03-01,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_431,l31_plant_134,braam_flowers.job_worker_planting31,600,2013-03-06,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_432,l31_plant_135,braam_flowers.job_worker_planting31,600,2013-03-06,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_433,l31_plant_136,braam_flowers.job_worker_planting31,600,2013-03-15,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_434,l31_plant_137,braam_flowers.job_worker_planting31,600,2013-03-15,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_435,l31_plant_138,braam_flowers.job_worker_planting31,600,2013-03-15,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_436,l31_plant_139,braam_flowers.job_worker_planting31,600,2013-03-15,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_437,l31_plant_140,braam_flowers.job_worker_planting31,600,2013-03-15,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_438,l31_plant_142,braam_flowers.job_worker_planting31,600,2013-03-17,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_439,l31_plant_143,braam_flowers.job_worker_planting31,600,2013-03-17,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_440,l31_plant_144,braam_flowers.job_worker_planting31,600,2013-03-17,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
